ROI,PN,Brush (2 of 3),VF0.16 (any),VF2.0 (any),AirPuff (2of3),Cold (any),Heat (Any),Cut. Input
444.077,,0,0,1,0,0,0,1
444.078,,0,0,1,0,0,0,1
444.079,,0,1,1,0,1,1,1
444.080,,1,1,1,0,1,1,1
444.081,,0,0,1,0,0,0,1
444.082,,1,1,1,0,1,1,1
444.083,,1,1,1,0,1,1,1
444.085,,0,0,1,0,0,1,1
444.086,,0,1,1,0,0,1,1
444.087,,0,1,1,0,1,1,1
444.088,,0,1,1,0,0,1,1
444.089,,0,1,1,0,1,1,1
444.091,,0,1,1,0,1,1,1
444.092,,0,1,1,0,0,1,1
444.093,,1,1,1,0,1,0,1
444.094,,0,0,1,0,0,1,1
444.095,,0,1,1,0,0,1,1
444.096,,1,1,1,0,0,0,1
444.097,,0,1,0,0,1,1,1
444.098,,1,1,1,0,0,0,1
444.099,,1,1,1,0,1,1,1
444.100,,0,0,1,0,0,0,1
444.101,,0,1,0,0,0,1,1
444.102,,0,0,1,0,0,1,1
444.103,,1,1,1,0,1,1,1
444.104,,1,1,1,0,0,1,1
444.105,,0,0,1,0,0,1,1
444.106,,0,1,1,0,0,1,1
444.107,,0,1,1,0,0,1,1
444.108,,1,1,1,1,1,1,1
444.109,,1,1,1,1,1,0,1
444.110,,0,0,1,1,1,1,1
444.111,,0,1,1,1,1,1,1
444.112,,1,0,1,0,1,1,1
444.113,,0,1,1,0,1,1,1
444.114,,0,0,1,0,0,1,1
444.115,,0,1,1,0,0,1,1
444.116,,0,0,1,0,0,1,1
444.117,,0,1,1,0,0,1,1
444.118,,0,1,1,0,0,1,1
444.119,,0,0,0,0,0,1,1
444.120,,0,1,1,0,0,1,1
444.121,,0,1,0,0,0,1,1
444.122,,0,0,0,0,0,1,1
444.123,,0,0,0,0,0,1,1
444.124,,0,0,0,0,0,1,1
444.125,,0,1,0,0,0,1,1
444.126,,0,0,0,0,0,1,1
444.127,,0,0,1,0,0,1,1
444.128,,0,0,0,0,1,1,1
444.129,,0,0,0,0,0,1,1
444.130,,0,0,0,0,0,1,1
444.131,,0,0,1,0,1,1,1
444.132,,0,0,0,0,0,1,1
444.133,,0,0,1,0,0,1,1
444.134,,0,1,1,0,0,1,1
444.135,,0,1,1,0,0,1,1
444.136,,0,1,1,0,1,1,1
444.137,,0,0,1,0,1,1,1
444.138,,1,1,1,0,0,1,1
444.139,,0,1,1,0,0,1,1
444.140,,0,0,1,0,0,1,1
444.141,,0,0,1,0,1,1,1
444.142,,1,1,1,0,0,1,1
444.143,,0,0,0,0,0,1,1
444.144,,0,0,0,0,0,1,1
444.145,,1,0,1,0,0,1,1
444.146,,0,0,0,0,0,1,1
444.147,,0,1,1,1,1,1,1
444.148,,1,1,1,0,0,1,1
444.149,,0,0,0,0,1,1,1
444.150,,1,0,1,0,1,0,1
444.151,,0,0,0,0,0,0,1
444.152,,0,0,0,0,0,0,0
444.153,,1,0,1,1,1,0,1
444.154,,0,1,1,0,0,1,1
444.155,,0,0,0,0,1,0,1
444.156,,0,0,0,0,0,1,1
444.157,,1,1,1,0,1,1,1
444.158,,1,1,1,0,0,1,1
444.159,,0,0,1,0,0,1,1
444.160,,0,1,1,0,0,1,1
444.161,,1,0,1,1,0,1,1
444.162,,0,1,1,0,1,1,1
444.163,,0,0,1,0,1,1,1
444.164,,0,1,1,1,0,1,1
444.165,,0,0,0,0,0,1,1
444.166,,0,0,0,0,0,1,1
444.167,,0,1,1,1,1,1,1
444.168,,1,1,1,1,1,1,1
444.169,,0,1,1,0,0,1,1
444.170,,1,1,1,1,0,1,1
444.171,,0,0,1,0,0,1,1
444.172,,1,1,1,0,1,1,1
444.173,,1,1,1,0,1,0,1
444.174,,0,0,1,0,1,0,1
444.175,,0,0,1,0,1,0,1
444.176,,0,0,1,0,0,1,1
444.177,,0,0,0,1,1,1,1
444.178,,0,0,0,0,0,0,0
444.179,,0,0,1,0,0,1,1
444.180,,1,1,1,0,0,1,1
444.181,,0,0,1,0,0,0,1
444.182,,0,0,1,0,0,0,1
444.183,,0,0,1,0,0,0,1
444.184,,0,0,1,0,0,1,1
444.185,,0,0,0,0,0,0,1
444.186,,0,0,0,0,0,0,1
444.187,,0,0,0,0,0,1,1
444.188,,0,0,0,0,0,0,1
444.189,,0,1,0,0,0,1,1
444.190,,0,0,0,0,0,0,1
444.191,,1,0,1,0,1,1,1
444.192,,0,0,1,0,0,1,1
444.193,,0,1,1,0,0,1,1
444.194,,0,0,1,0,1,1,1
444.195,,0,0,1,1,1,1,1
444.196,,0,0,0,0,0,1,1
444.197,,0,0,1,1,1,1,1
444.198,,0,1,1,0,0,0,1
444.199,,0,0,1,0,0,0,1
444.200,,0,0,1,0,0,0,1
444.201,,0,0,1,0,0,1,1
444.202,,0,1,1,0,0,0,1
444.203,,0,0,0,0,1,0,1
444.204,,0,0,1,0,0,0,1
444.205,,0,0,0,0,0,1,1
444.206,,0,0,0,0,0,1,1
444.207,,0,1,1,0,0,1,1
444.208,,0,0,1,0,0,1,1
444.209,,0,0,0,0,0,0,1
444.210,,0,0,0,0,0,1,1
444.211,,0,0,0,0,0,0,1
444.212,,0,0,0,0,0,0,1
444.213,,0,0,1,0,0,0,1
444.214,,0,1,1,0,0,1,1
444.215,,0,0,0,0,0,0,1
444.216,,0,1,0,0,0,1,1
444.217,,1,0,1,0,1,1,1
444.218,,0,1,1,0,0,1,1
444.219,,0,1,0,0,0,1,1
444.220,,1,1,1,0,1,1,1
444.221,,0,0,0,0,0,1,1
444.222,,0,1,1,0,1,1,1
444.223,,0,0,1,1,0,1,1
444.224,,0,0,0,0,1,1,1
444.225,,0,0,1,0,1,1,1
444.226,,0,1,0,0,0,1,1
444.227,,1,0,1,0,0,1,1
444.228,1,1,1,1,1,1,1,1
444.229,,0,0,0,0,0,1,1
444.231,,0,1,1,0,1,1,1
444.232,,0,0,0,1,1,1,1
444.234,,1,1,1,0,1,1,1
444.235,,0,0,0,0,0,0,1
444.236,,0,0,0,0,0,1,1
444.237,,0,0,1,0,0,1,1
444.238,,0,0,1,0,0,1,1
444.239,,0,0,1,0,0,0,1
444.240,,1,1,1,0,1,1,1
444.241,,1,0,1,0,0,1,1
444.242,,0,1,0,0,0,1,1
444.243,,0,0,0,0,1,0,1
444.244,,0,0,1,0,1,1,1
444.245,,0,0,1,0,0,0,1
444.246,,0,1,1,0,0,1,1
444.247,,0,0,1,0,0,0,1
444.248,,0,0,1,0,0,0,1
444.249,,1,1,1,0,0,1,1
444.250,,0,0,1,0,0,0,1
444.251,,0,0,1,1,0,0,1
444.252,,0,1,1,1,1,1,1
444.253,,1,1,1,1,1,1,1
444.254,,0,1,1,0,0,0,1
444.255,,1,1,0,0,1,1,1
444.257,,1,1,1,0,0,1,1
444.258,,0,1,1,0,0,0,1
444.259,,0,0,1,0,0,0,1
444.260,,0,1,0,0,0,1,1
444.261,,0,1,1,0,1,1,1
444.262,,0,0,0,0,0,1,1
444.263,,0,0,0,0,0,0,1
444.264,,0,0,1,0,0,0,1
444.265,,1,1,1,0,1,1,1
444.266,,0,0,0,0,0,1,1
444.267,,0,0,1,0,0,1,1
444.268,,1,1,1,1,1,1,1
444.269,,0,0,1,0,1,1,1
444.270,,0,0,1,1,1,0,1
444.271,,1,1,1,1,1,0,1
444.272,,0,0,0,0,0,0,1
444.273,,0,0,1,0,1,1,1
444.274,,0,0,0,0,0,1,1
444.275,,1,1,1,0,0,1,1
444.277,,1,1,1,0,1,1,1
444.278,,0,0,0,0,0,0,1
444.279,,1,1,1,0,1,1,1
444.280,,0,1,1,0,0,1,1
444.282,,0,0,1,0,0,0,1
444.283,,0,0,0,0,0,0,0
444.284,,0,0,1,0,1,1,1
444.285,,1,1,0,1,1,0,1
444.286,,0,0,0,0,0,0,1
444.287,,0,1,0,0,0,0,1
444.288,,0,0,0,0,0,0,1
444.290,,0,0,0,0,0,1,1
444.291,,0,1,1,0,1,1,1
444.292,,0,0,1,0,1,0,1
444.293,,0,0,0,0,0,1,1
444.294,,0,0,1,0,0,1,1
444.295,,0,0,1,0,0,1,1
444.296,,1,0,1,0,0,0,1
444.297,,0,0,1,0,1,0,1
444.298,,0,0,1,0,0,1,1
444.299,,0,0,0,0,0,1,1
444.300,,0,1,1,0,1,1,1
444.301,,0,0,0,0,0,0,0
444.302,,1,0,1,0,0,1,1
444.304,,0,0,0,0,0,0,1
444.305,,0,1,1,0,0,1,1
444.307,,0,0,0,0,0,1,1
444.308,,0,0,0,0,0,1,1
444.309,,1,1,1,0,0,1,1
444.310,,0,0,1,0,0,1,1
444.311,,0,0,0,0,0,0,0
444.312,,0,0,1,0,0,1,1
444.313,,0,0,0,0,0,0,0
444.314,,1,1,1,1,1,1,1
444.315,,1,1,1,0,1,1,1
444.316,,0,1,1,0,0,0,1
444.317,,0,1,1,0,0,1,1
444.318,,1,1,1,0,0,1,1
444.319,,0,0,1,0,0,0,1
444.320,,0,1,1,0,0,1,1
444.321,,0,0,0,0,0,1,1
444.322,,0,0,0,0,0,0,0
444.323,,0,0,0,0,0,1,1
444.324,,0,0,1,0,0,0,1
444.325,,0,0,0,0,0,1,1
444.326,,0,1,0,0,0,0,1
444.327,,0,0,1,0,0,1,1
444.328,,0,1,1,0,0,0,1
444.329,,0,0,0,0,0,0,0
444.330,,0,1,0,0,0,1,1
444.331,,0,0,0,0,0,0,0
444.332,,0,0,0,0,0,0,0
444.333,,0,0,0,0,0,0,0
444.334,,0,0,0,1,0,1,1
444.335,,0,0,0,0,0,0,0
444.336,,0,1,0,0,0,0,1
444.337,,1,1,1,1,1,1,1
444.338,,0,0,1,0,0,1,1
444.339,,0,0,1,0,0,1,1
444.340,,1,0,1,0,0,1,1
444.341,,0,0,0,0,0,0,0
444.342,,0,0,0,0,0,1,1
444.343,,0,0,0,0,0,0,0
444.344,,0,0,1,0,0,1,1
444.345,,0,0,0,0,0,1,1
444.346,,0,1,0,0,0,1,1
444.347,,0,1,1,1,1,1,1
444.348,,0,1,1,0,1,0,1
444.349,,0,0,0,0,1,1,1
444.350,,1,0,1,0,1,0,1
444.351,,1,1,1,0,0,1,1
444.352,,0,1,0,0,1,1,1
444.353,,0,1,1,0,1,1,1
444.354,,0,0,0,0,1,1,1
444.355,,1,1,1,0,1,1,1
444.356,,0,1,1,0,0,0,1
444.357,,0,1,1,0,1,1,1
444.358,,0,1,1,0,0,1,1
444.359,,0,0,1,0,1,1,1
444.360,,0,0,1,0,0,1,1
444.361,,0,0,0,0,0,0,1
444.362,,0,0,1,0,0,0,1
444.363,1,1,0,1,0,0,0,1
444.364,,0,0,1,0,0,1,1
444.365,,1,1,1,0,0,1,1
444.366,,0,0,0,0,0,0,0
444.367,,0,0,1,0,0,1,1
444.368,,0,0,0,0,0,0,0
444.369,,0,1,1,0,0,1,1
444.370,,0,0,0,0,0,1,1
444.371,,0,0,0,0,0,0,0
444.372,,0,0,0,0,0,0,0
444.373,,0,0,0,0,1,1,1
444.374,,1,0,1,0,0,1,1
444.375,,1,0,1,0,0,1,1
444.376,,0,0,0,0,0,0,0
444.377,,0,0,0,0,0,1,1
444.378,,0,0,0,0,0,1,1
444.379,,0,0,0,0,0,0,0
444.380,,0,0,1,0,1,1,1
444.381,,0,0,1,1,1,0,1
444.382,,0,0,0,0,0,0,0
444.383,,1,1,1,0,1,1,1
444.384,,0,1,0,0,0,1,1
444.385,,0,0,1,0,0,1,1
444.386,,0,0,1,0,0,0,1
444.387,,0,0,1,0,0,0,1
444.389,,0,0,1,0,0,0,1
444.390,,0,0,0,0,0,0,1
444.391,,0,0,0,0,0,0,1
444.392,,0,0,0,0,0,0,0
444.393,,0,0,0,0,0,0,0
444.394,,0,0,0,0,0,0,0
444.395,,0,0,0,0,0,1,1
444.396,,0,0,1,0,0,1,1
444.397,,0,0,0,0,0,0,0
444.398,,0,0,0,0,0,0,0
444.399,,0,0,0,0,0,0,0
444.400,,0,0,1,0,0,1,1
444.401,,0,0,0,0,0,0,1
444.402,,0,0,1,0,0,1,1
444.403,,0,1,0,0,0,0,1
444.404,,0,0,0,0,0,1,1
444.405,,1,1,1,0,0,1,1
444.406,,0,0,1,0,0,1,1
444.407,,0,0,0,0,0,0,0
444.408,,0,0,0,0,0,0,0
444.409,,0,0,1,0,0,1,1
444.410,,0,0,0,0,0,0,0
444.411,,0,0,0,0,0,0,0
444.412,,0,0,1,0,0,0,1
444.413,,0,0,1,0,0,0,1
444.414,,0,0,1,0,0,1,1
444.415,,0,1,1,0,0,0,1
444.416,,0,0,0,0,0,1,1
444.417,,0,0,0,0,0,0,0
444.418,,0,0,0,0,0,0,1
444.419,,0,0,0,0,0,1,1
444.420,,0,0,0,0,0,1,1
444.421,,0,0,0,0,0,0,0
447.002,,0,1,1,0,1,0,1
447.004,,1,1,1,1,1,1,1
447.005,,0,1,1,0,1,1,1
447.006,,0,1,1,0,1,1,1
447.007,,0,0,1,1,1,1,1
447.008,,0,1,1,0,1,1,1
447.009,,1,1,1,1,1,1,1
447.010,,1,1,1,1,0,0,1
447.011,,1,1,1,1,1,1,1
447.012,,0,1,1,0,0,0,1
447.013,,0,0,0,0,0,0,0
447.014,,0,1,1,0,1,1,1
447.015,1,0,0,1,0,1,1,1
447.016,,1,1,1,0,1,1,1
447.018,,1,1,1,1,1,1,1
447.019,,0,1,1,0,1,1,1
447.020,,0,0,0,0,0,0,0
447.021,,0,1,1,0,1,1,1
447.022,,0,1,1,0,0,0,1
447.023,,0,0,0,0,0,0,0
447.024,,0,1,1,0,1,1,1
447.025,,0,1,1,0,0,1,1
447.026,,0,0,0,0,0,0,0
447.027,,0,0,1,0,0,0,1
447.028,,0,0,0,0,0,0,0
447.029,,0,1,1,0,1,1,1
447.031,,0,1,1,0,1,1,1
447.032,,0,0,0,0,0,0,0
447.033,,0,0,1,0,0,1,1
447.034,,0,1,1,0,1,1,1
447.036,,1,1,1,1,1,1,1
447.037,,1,1,1,0,1,0,1
447.038,,0,1,1,0,1,1,1
447.039,,0,0,0,0,0,0,1
447.040,,0,0,0,0,0,0,0
447.043,,0,1,1,0,0,1,1
447.045,,0,0,0,0,0,0,0
447.046,,0,1,1,0,0,1,1
447.047,,0,1,1,0,0,0,1
447.048,,0,1,1,0,1,1,1
447.049,,0,1,1,0,1,1,1
447.050,,1,1,1,1,1,1,1
447.051,,0,0,0,0,0,0,0
447.052,,0,1,0,0,0,0,1
447.055,,0,0,1,0,1,1,1
447.056,,0,0,0,0,0,0,0
447.057,,0,0,0,0,1,1,1
447.058,,0,1,1,0,1,1,1
447.059,1,1,1,1,1,1,1,1
447.060,,0,1,1,0,1,1,1
447.061,,0,1,0,0,0,0,1
447.062,,0,0,1,0,0,0,1
447.063,,0,0,1,0,0,1,1
447.064,,0,1,0,0,0,0,1
447.065,,0,0,0,0,0,0,0
447.066,,0,0,1,0,0,0,1
447.067,,0,1,0,0,0,0,1
447.068,,0,0,1,0,0,0,1
447.069,,0,1,1,0,0,0,1
447.071,,0,1,1,0,0,1,1
447.072,,0,0,0,0,0,0,0
447.073,,0,0,1,0,0,0,1
447.074,,1,0,1,0,0,0,1
447.075,,0,0,0,0,0,0,1
447.076,,0,0,0,0,0,0,1
447.077,,0,0,0,0,0,0,1
447.080,,0,0,0,0,0,0,0
447.081,,1,1,1,0,0,0,1
447.083,1,1,1,1,1,1,1,1
447.084,,0,0,0,0,0,0,1
447.085,,0,1,0,0,0,0,1
447.086,,1,1,1,0,0,0,1
447.087,,0,0,1,0,0,0,1
447.088,,1,1,1,0,1,1,1
447.089,,1,1,1,1,1,1,1
447.090,,1,1,1,0,0,1,1
447.091,,1,0,1,0,1,0,1
447.093,,0,0,0,0,0,0,1
447.094,,1,1,0,0,0,1,1
447.095,1,1,1,1,0,1,1,1
447.096,,0,0,0,0,0,0,0
447.097,,0,1,1,0,0,1,1
447.098,,0,1,1,0,0,1,1
447.099,,0,0,0,0,0,0,1
447.100,,0,0,1,0,0,0,1
447.101,,1,0,1,0,0,1,1
447.102,,0,0,1,0,0,0,1
447.103,,0,0,1,0,1,0,1
447.104,,0,0,1,0,0,0,1
447.105,,0,1,1,0,0,0,1
447.106,,0,1,1,0,0,0,1
447.107,,1,0,1,0,0,0,1
447.108,,0,1,1,0,0,0,1
447.109,,0,1,0,0,0,1,1
447.110,,0,1,0,0,0,1,1
447.111,,0,0,1,0,0,0,1
447.112,,0,1,1,0,1,1,1
447.113,,1,0,1,0,0,0,1
447.114,,1,0,0,0,0,0,1
447.115,,1,0,1,0,0,0,1
447.116,,1,0,1,0,0,1,1
447.117,,0,0,0,0,0,0,0
447.118,,0,0,1,0,0,0,1
447.119,,1,1,1,0,1,1,1
447.120,,0,1,0,0,0,0,1
447.121,,0,1,1,0,0,0,1
447.122,,0,1,1,0,0,1,1
447.123,,0,0,1,0,0,0,1
447.124,,0,0,0,0,1,1,1
447.125,,0,0,1,0,0,0,1
447.126,,1,1,1,0,1,1,1
447.127,,0,1,1,0,1,1,1
447.128,,1,1,1,1,1,1,1
447.129,,0,1,1,0,1,1,1
447.130,,0,0,1,0,0,0,1
447.131,,0,0,0,0,0,0,0
447.132,,1,1,1,0,0,0,1
447.133,,0,0,1,0,0,1,1
447.134,,0,0,1,0,0,0,1
447.135,,1,1,1,0,0,0,1
447.136,,0,1,1,0,1,0,1
447.137,,0,1,1,0,1,1,1
447.138,,0,1,1,0,1,1,1
447.139,,0,0,1,0,0,0,1
447.142,,1,1,1,0,1,1,1
447.143,1,1,1,1,0,1,1,1
447.144,,1,1,1,1,1,1,1
447.145,,0,0,1,0,0,0,1
447.146,,0,0,0,0,0,0,1
447.148,,0,1,1,0,0,0,1
447.149,1,1,1,1,1,1,1,1
447.150,,0,1,1,0,1,1,1
447.151,,0,0,1,0,0,0,1
447.152,,0,0,1,0,1,0,1
447.153,,0,0,1,0,0,0,1
447.155,,1,1,1,1,0,1,1
447.156,,0,0,0,0,1,0,1
447.157,,1,0,0,0,0,0,1
447.158,,0,0,0,0,0,0,0
447.159,,1,1,1,0,0,1,1
447.160,,1,1,1,1,1,1,1
447.163,,0,0,1,0,0,0,1
447.164,,1,1,1,0,1,1,1
447.165,,0,1,1,0,0,1,1
447.166,,1,1,1,0,1,1,1
447.167,,1,1,1,0,0,1,1
447.168,,1,1,1,0,0,1,1
447.169,,0,1,1,0,1,1,1
447.170,,1,1,1,0,1,1,1
447.171,,0,1,1,0,0,1,1
447.173,,0,0,1,0,0,0,1
447.174,,0,0,0,0,0,0,1
447.175,,1,0,1,0,0,0,1
447.176,,0,0,0,0,1,1,1
447.177,,0,0,0,0,0,0,0
447.178,,0,1,1,0,0,0,1
447.179,,1,1,1,0,1,0,1
447.180,,0,0,0,0,0,0,0
447.181,,0,1,1,0,0,1,1
447.182,,0,0,1,0,0,0,1
447.183,,0,0,1,0,1,0,1
447.184,,0,1,1,0,0,1,1
447.185,,0,0,0,0,0,0,0
447.186,,1,1,1,1,1,1,1
447.188,,0,1,1,0,0,1,1
447.189,,0,0,0,0,0,0,0
447.190,,0,0,0,0,0,0,0
447.191,,0,0,0,0,0,0,0
447.192,,0,0,0,0,0,0,0
447.193,,1,1,1,0,1,1,1
447.196,,0,1,0,0,0,1,1
447.197,,0,0,1,0,0,0,1
447.198,,0,1,1,0,0,0,1
447.199,,0,0,1,0,0,0,1
447.200,1,1,1,1,1,1,1,1
447.201,,1,1,1,1,1,1,1
447.202,,0,0,0,0,0,0,1
447.203,,0,1,1,0,0,1,1
447.204,,1,0,1,0,0,0,1
447.205,,0,0,1,0,0,0,1
447.206,,0,1,1,0,0,0,1
447.207,,0,1,1,0,0,0,1
447.208,,0,1,1,0,1,0,1
447.209,,0,1,0,0,0,0,1
447.210,,0,0,0,0,0,0,0
447.211,,0,1,1,0,0,1,1
447.212,,0,1,1,0,1,0,1
447.213,,0,1,1,0,0,1,1
447.214,,0,1,1,0,1,0,1
447.215,,1,1,1,0,1,1,1
447.216,,0,1,1,0,0,1,1
447.217,,0,1,1,0,0,1,1
447.221,,0,0,1,0,0,0,1
447.222,,0,1,1,0,0,0,1
447.223,,0,1,1,0,0,0,1
447.224,,1,0,1,0,1,0,1
447.225,,0,0,0,0,0,0,0
447.226,,0,0,0,0,0,0,1
447.227,,0,0,0,0,1,0,1
447.228,,0,1,1,1,1,1,1
447.229,,0,0,0,0,0,0,0
447.230,,0,0,1,0,1,0,1
447.231,,1,1,1,1,1,1,1
447.232,,0,0,0,0,0,0,1
447.233,,0,1,1,0,0,1,1
447.234,,0,1,1,0,1,1,1
447.235,,1,1,1,0,1,1,1
447.236,,0,0,1,0,0,0,1
447.237,,0,0,0,0,0,1,1
447.238,,1,0,1,0,0,0,1
447.239,,1,1,1,1,1,1,1
447.240,,1,1,1,0,1,1,1
447.241,,1,1,1,1,1,1,1
447.242,,0,1,0,0,1,1,1
447.243,,1,1,1,1,1,1,1
447.245,,1,1,1,0,0,1,1
447.246,,0,0,1,0,0,1,1
447.247,,0,1,1,0,0,1,1
447.248,,1,1,1,1,0,1,1
447.249,,1,1,1,0,0,0,1
447.250,,0,0,1,0,1,0,1
447.251,,0,1,1,0,0,1,1
447.252,,0,1,1,0,0,1,1
447.253,,1,1,1,1,1,1,1
447.254,,0,1,1,0,1,1,1
447.255,,0,1,1,0,1,1,1
447.256,,0,1,0,0,0,0,1
447.259,,0,0,1,0,1,1,1
447.260,,0,1,1,0,0,1,1
447.261,,0,1,1,0,0,1,1
447.262,,1,1,1,0,0,1,1
447.263,,1,1,1,0,1,1,1
447.264,,0,1,1,0,1,1,1
447.265,,0,1,0,0,0,0,1
447.266,,0,0,0,0,0,0,1
447.267,,0,1,1,0,1,1,1
447.268,,0,0,0,0,0,0,0
447.269,,0,1,1,0,0,0,1
447.270,,0,0,0,0,0,0,1
447.271,,1,1,1,1,1,1,1
447.272,,0,0,0,0,0,0,0
447.273,,0,1,1,0,0,0,1
447.274,,1,1,1,0,0,1,1
447.275,,0,0,0,0,0,0,0
447.277,,0,0,1,0,0,1,1
447.278,,0,1,1,0,0,0,1
447.279,,0,0,1,0,0,0,1
447.280,,0,1,1,0,1,1,1
447.281,,0,1,1,0,1,1,1
447.282,,0,1,1,0,0,1,1
447.283,,1,1,1,0,1,1,1
447.284,,0,0,0,0,0,0,0
447.285,,0,1,1,0,0,1,1
447.286,,1,0,1,0,0,0,1
447.287,,0,1,0,0,0,0,1
447.288,,0,1,1,0,1,0,1
447.289,,0,1,1,0,1,0,1
447.290,,0,1,1,0,1,0,1
